title	url_id	area	width	price	direction	number_of_bedrooms	number_of_toilets	furniture	legal	lat	lon	address	district	province
Nhà riêng tại đường Cầu Giấy	pr42344559	96.0	6.6	25.0	0000	24	24	Đầy đủ	2	21.0348094455675	105.794368473583	Đường Cầu Giấy, Phường Dịch Vọng, Cầu Giấy, Hà Nội	Cầu Giấy	Hà Nội
Nhà riêng tại đường Tô Hiệu	pr42363350	53.0	4.1	8.0	0000	1	1		2	20.9665098182716	105.776573497107	Đường Tô Hiệu, Phường Hà Cầu, Hà Đông, Hà Nội	Hà Đông	Hà Nội
Căn hộ chung cư tại N03-T1 Ngoại Giao Đoàn	pr40262777	96.6	0.0	8.3	1000	3	2	Đầy đủ	2	21.0657653808594	105.798080444336	Dự án N03-T1 Ngoại Giao Đoàn, Đường Nguyễn Văn Huyên, Phường Xuân Đỉnh, Bắc Từ Liêm, Hà Nội	Bắc Từ Liêm	Hà Nội
Nhà riêng tại phố Hoàng Ngọc Phách	pr42469440	61.0	4.8	20.0	0000	0	0		2	21.0157856787593	105.812011918671	Phố Hoàng Ngọc Phách, Phường Láng Hạ, Đống Đa, Hà Nội	Đống Đa	Hà Nội
Nhà riêng tại đường Nguyễn Văn Cừ	pr42373973	80.0	4.0	10.7	0000	4	3		2	21.0438651326572	105.872356856801	Đường Nguyễn Văn Cừ, Phường Bồ Đề, Long Biên, Hà Nội	Long Biên	Hà Nội
Bán đất tại phường La Khê	pr42653885	55.0	5.0	12.2	0000	0	0		2	20.9707771710082	105.76028719195	Phường La Khê, Hà Đông, Hà Nội	Hà Đông	Hà Nội
Nhà riêng tại đường Hàm Nghi	pr42586719	50.0	0.0	8.5	0000	0	0		-1	21.0351270389942	105.764246081438	Đường Hàm Nghi, Phường Cầu Diễn, Nam Từ Liêm, Hà Nội	Nam Từ Liêm	Hà Nội
Bán đất tại phường Mỗ Lao	pr42656085	38.0	0.0	7.0	0000	0	0		-1	20.9850788795702	105.784987254152	Phường Mỗ Lao, Hà Đông, Hà Nội	Hà Đông	Hà Nội
Nhà riêng tại đường Hoàng Như Tiếp	pr40535921	75.8	7.0	11.75	0000	5	0	Đầy đủ	2	21.0405457	105.8776409	Đường Hoàng Như Tiếp, Phường Bồ Đề, Long Biên, Hà Nội	Long Biên	Hà Nội
Căn hộ chung cư tại D’. El Dorado	pr42555111	147.0	0.0	24.8	0001	4	4	Không nội thất	2	21.0733471763875	105.799616552547	Dự án D’. El Dorado, đường Nguyễn Hoàng Tôn, Phường Phú Thượng, Tây Hồ, Hà Nội	Tây Hồ	Hà Nội
