title	url_id	area	price	number_of_bedrooms	number_of_toilets	legal	lat	lon	district	province	property_type	property_type_id	district_id
Bán nhà Phú Mỹ 50m2 nhà đẹp oto vào nhà lô góc 3 thoáng 10.5 tỷ	125597209	50.0	10.5	4	4	2	21.029554	105.7721	Nam Từ Liêm	Hà Nội	Nhà riêng	3	28
Víp phố Nguyễn Chí Thanh, ngõ thông, ô tô đỗ cổng, dt 45m2* 5 tầng	125581174	45.0	8.25	3	4	2	21.0226	105.80966	Đống Đa	Hà Nội	Khác	0	7
NHÀ ĐẸP XÃ ĐÀN - 30 M RA PHỐ - NHÀ MỚI ĐẸP - 6 TẦNG	125597754	35.0	8.25	5	5	2	21.014414	105.831436	Đống Đa	Hà Nội	Nhà riêng	3	7
HOA HẬU 7 TẦNG THANG MÁY-VIEW HIMLAM- Ô TÔ TRÁNH- VỈA HÈ RỘNG !!!	125598008	50.0	17.0	4	6	2	20.983309	105.76976	Hà Đông	Hà Nội	Khác	0	9
Bán nhà Tây Sơn, ngõ thoáng 2m, kinh doanh nhỏ, 28m2* 4T	125598607	28.0	6.85	2	3	2	21.003496	105.82054	Đống Đa	Hà Nội	Nhà riêng	3	7
SIÊU PHẨM TỨ LIÊN-TÂY HỒ, 40M, 6 TẦNG, THANG MÁY, CHỈ 8.6 TỶ CÓ RA LỘC	125583022	40.0	8.6	3	4	2	21.06426	105.834076	Tây Hồ	Hà Nội	Khác	0	22
NHÀ KIM CHUNG YÊN VĨNH Ô TÔ ĐỖ CỬA	125598618	33.0	6.2	4	4	2	21.052124	105.70905	Hoài Đức	Hà Nội	Nhà riêng	3	11
Nhà Đẹp Lĩnh Nam 7 tầng thang máy full nội thất	125599125	68.0	16.0	4	4	2	20.979588	105.88912	Hoàng Mai	Hà Nội	Nhà riêng	3	13
Bán nhà Tây Sơn, ngõ thông, 15m ra ô tô, nhà mới full nội thất,27m2*4T	125584077	27.0	6.75	3	3	2	21.0041	105.82135	Đống Đa	Hà Nội	Nhà riêng	3	7
BÁN NHÀ DO HẠ TIỀN PHONG, MÊ LINH, HÀ NỘI	125599808	48.0	3.2	2	1	2	21.160532	105.76446	Mê Linh	Hà Nội	Nhà riêng	3	15
Nhà Lê Trọng Tấn phân lô ô tô đỗ cửa, lô góc 2 thoáng, full đồ,42m2*4T	125600081	42.0	9.15	4	3	2	20.986992	105.83584	Thanh Xuân	Hà Nội	Nhà riêng	3	26
Quá hợp lý -5 tầng mới đẹp Tôn Đức Thắng 32m2- ô tô cách 20m-sdcc	125600270	32.0	4.68	3	4	2	21.023514	105.83227	Đống Đa	Hà Nội	Khác	0	7
BÁN NHÀ KHU PL QĐ, CẠNH SÂN GOLF LONG BIÊN, OTO,TH.MÁY, FULL N.THẤT	125600361	40.3	13.2	4	5	2	21.026669	105.89605	Long Biên	Hà Nội	Nhà riêng	3	14
Phân lô, dân xây, ô tô đậu ngày đêm, phòng thoáng sáng: 42m2* 4 tầng.	125600525	42.0	8.2	3	4	2	21.060614	105.78177	Bắc Từ Liêm	Hà Nội	Khác	0	28
GIÁ TỐT NHÀ THỢ XÂY ĐẠI MỖ 51 m2 x 5t Ô TÔ-KINH DOANH- 7,3 tỷ	125600663	51.0	7.3	5	4	2	20.987251	105.76695	Nam Từ Liêm	Hà Nội	Nhà riêng	3	28
Bán Nhà 52m x 4 Tầng Sau Uỷ Ban Phường Thạch Bàn - Cổ Linh Ô Tô Đỗ Cửa	125600715	52.0	8.7	5	5	2	21.02974	105.91316	Long Biên	Hà Nội	Nhà riêng	3	14
Bán nhà phố Võ Thị Sáu ngõ thông, ba gác đỗ, nhà đẹp sẵn ở, 30mx5T	125600635	30.0	5.5	3	4	2	21.002882	105.85493	Hai Bà Trưng	Hà Nội	Nhà riêng	3	10
NHÀ TIẾN SĨ PHỐ TỐ HỮU 46m2 x 5t Ô TÔ- KINH DOANH- 9,2 tỷ	125600895	46.0	9.2	5	4	2	20.998583	105.79588	Thanh Xuân	Hà Nội	Nhà riêng	3	26
